文本,一级类目,二级类目,三级类目,四级类目
女装-POLO 衫-无-无,女装,POLO 衫,无,无
女装-T 恤-无-无,女装,T 恤,无,无
女装-抹胸-无-无,女装,抹胸,无,无
女装-毛衣-无-无,女装,毛衣,无,无
女装-皮衣-无-无,女装,皮衣,无,无
女装-短裤-无-无,女装,短裤,无,无
女装-衬衫-无-无,女装,衬衫,无,无
女装-裤子-棉裤/羽绒裤-无,女装,裤子,棉裤/羽绒裤,无
女装-裤子-休闲裤-无,女装,裤子,休闲裤,无
女装-裤子-牛仔裤-无,女装,裤子,牛仔裤,无
女装-裤子-西装裤/正装裤-无,女装,裤子,西装裤/正装裤,无
女装-裤子-女士卫裤-无,女装,裤子,女士卫裤,无
女装-西装-无-无,女装,西装,无,无
女装-风衣-无-无,女装,风衣,无,无
女装-马夹-无-无,女装,马夹,无,无
女装-卫衣/绒衫-无-无,女装,卫衣/绒衫,无,无
女装-棉衣/棉服-无-无,女装,棉衣/棉服,无,无
女装-婚纱/旗袍/礼服-婚纱-无,女装,婚纱/旗袍/礼服,婚纱,无
女装-婚纱/旗袍/礼服-旗袍-无,女装,婚纱/旗袍/礼服,旗袍,无
女装-婚纱/旗袍/礼服-礼服/晚装-无,女装,婚纱/旗袍/礼服,礼服/晚装,无
女装-婚纱/旗袍/礼服-女士秀禾服-无,女装,婚纱/旗袍/礼服,女士秀禾服,无
女装-唐装/民族服装/舞台服装-唐装/中式服装-上衣,女装,唐装/民族服装/舞台服装,唐装/中式服装,上衣
女装-唐装/民族服装/舞台服装-唐装/中式服装-裙子,女装,唐装/民族服装/舞台服装,唐装/中式服装,裙子
女装-唐装/民族服装/舞台服装-唐装/中式服装-裤子,女装,唐装/民族服装/舞台服装,唐装/中式服装,裤子
女装-唐装/民族服装/舞台服装-民族服饰/舞台装-无,女装,唐装/民族服装/舞台服装,民族服饰/舞台装,无
女装-套装/学生校服/工作制服-医护制服-无,女装,套装/学生校服/工作制服,医护制服,无
女装-套装/学生校服/工作制服-学生校服-无,女装,套装/学生校服/工作制服,学生校服,无
女装-套装/学生校服/工作制服-时尚套装-无,女装,套装/学生校服/工作制服,时尚套装,无
女装-套装/学生校服/工作制服-其他制服/套装-无,女装,套装/学生校服/工作制服,其他制服/套装,无
女装-套装/学生校服/工作制服-休闲运动套装-无,女装,套装/学生校服/工作制服,休闲运动套装,无
女装-套装/学生校服/工作制服-职业女裙套装-无,女装,套装/学生校服/工作制服,职业女裙套装,无
女装-套装/学生校服/工作制服-酒店工作制服-无,女装,套装/学生校服/工作制服,酒店工作制服,无
女装-半身裙-无-无,女装,半身裙,无,无
女装-短外套-无-无,女装,短外套,无,无
女装-羊毛衫-无-无,女装,羊毛衫,无,无
女装-羊绒衫-无-无,女装,羊绒衫,无,无
女装-羽绒服-无-无,女装,羽绒服,无,无
女装-连衣裙-无-无,女装,连衣裙,无,无
女装-连体衣/裤-无-无,女装,连体衣/裤,无,无
女装-蕾丝衫/雪纺衫-无-无,女装,蕾丝衫/雪纺衫,无,无
女装-设计师/潮牌女装-无-无,女装,设计师/潮牌女装,无,无
女装-大码女装-大码连衣裙-无,女装,大码女装,大码连衣裙,无
女装-大码女装-大码衬衫-无,女装,大码女装,大码衬衫,无
女装-大码女装-大码牛仔裤-无,女装,大码女装,大码牛仔裤,无
女装-大码女装-大码短外套-无,女装,大码女装,大码短外套,无
女装-大码女装-大码毛呢外套-无,女装,大码女装,大码毛呢外套,无
女装-大码女装-大码毛针织衫-无,女装,大码女装,大码毛针织衫,无
女装-大码女装-大码羽绒服-无,女装,大码女装,大码羽绒服,无
女装-大码女装-大码裤子-无,女装,大码女装,大码裤子,无
女装-大码女装-大码 T 恤-无,女装,大码女装,大码 T 恤,无
女装-大码女装-大码卫衣/绒衫-无,女装,大码女装,大码卫衣/绒衫,无
女装-大码女装-大码半身裙-无,女装,大码女装,大码半身裙,无
女装-大码女装-大码短裤-无,女装,大码女装,大码短裤,无
女装-大码女装-大码毛衣-无,女装,大码女装,大码毛衣,无
女装-大码女装-大码背心吊带-无,女装,大码女装,大码背心吊带,无
女装-大码女装-大码风衣-无,女装,大码女装,大码风衣,无
女装-大码女装-大码羊毛衫-无,女装,大码女装,大码羊毛衫,无
女装-大码女装-大码连体衣/裤-无,女装,大码女装,大码连体衣/裤,无
女装-大码女装-大码马夹-无,女装,大码女装,大码马夹,无
女装-大码女装-大码蕾丝衫/雪纺衫-无,女装,大码女装,大码蕾丝衫/雪纺衫,无
女装-大码女装-大码西装-无,女装,大码女装,大码西装,无
女装-大码女装-大码棉衣/棉服-无,女装,大码女装,大码棉衣/棉服,无
女装-大码女装-大码婚纱/旗袍/礼服-无,女装,大码女装,大码婚纱/旗袍/礼服,无
女装-大码女装-大码套装-无,女装,大码女装,大码套装,无
女装-毛呢外套-无-无,女装,毛呢外套,无,无
女装-毛针织衫-无-无,女装,毛针织衫,无,无
女装-吊带背心-无-无,女装,吊带背心,无,无
女装-中老年女装-无-无,女装,中老年女装,无,无
女装-汉服-无-无,女装,汉服,无,无
女装-派克服-无-无,女装,派克服,无,无
女装-皮草-人造皮草-无,女装,皮草,人造皮草,无
女装-皮草-天然皮草-无,女装,皮草,天然皮草,无
女装-肌底衣/肌肤衣-无-无,女装,肌底衣/肌肤衣,无,无
女装-新中式女装-无-无,女装,新中式女装,无,无
女装-时尚防晒服-无-无,女装,时尚防晒服,无,无
女装-羊绒大衣-无-无,女装,羊绒大衣,无,无
女装-情侣服饰-情侣卫衣-无,女装,情侣服饰,情侣卫衣,无
女装-情侣服饰-情侣 T 恤-无,女装,情侣服饰,情侣 T 恤,无
女装-冲锋衣-无-无,女装,冲锋衣,无,无
女装-鲨鱼裤-无-无,女装,鲨鱼裤,无,无
女装-抓绒衣-无-无,女装,抓绒衣,无,无
女装-冲锋裤-无-无,女装,冲锋裤,无,无
女装-速干裤-无-无,女装,速干裤,无,无
女装-软壳衣-无-无,女装,软壳衣,无,无
女装-夹克-无-无,女装,夹克,无,无
女装-披肩-无-无,女装,披肩,无,无
女装-棒球服-无-无,女装,棒球服,无,无
